Vocabulary	Part of Speech	Pronunciation	Meaning	Synonym	Antonym	Word Family	Example	Collocation
magazine	noun	/ˌmæɡ.əˈziːn/	tạp chí, tập san	publication, journal, periodical	—	magazine (n): tạp chí; magazine publisher (n): nhà xuất bản tạp chí	I bought a fashion magazine yesterday.	fashion magazine, weekly magazine, magazine article
predict	verb	/prɪˈdɪkt/	1. dự đoán, tiên đoán	forecast, foresee	ignore, miscalculate	prediction (n): sự dự đoán predictable (adj): có thể đoán trước unpredictability (n): tính khó đoán	The analyst predicts higher sales next quarter.	predict demand, accurately predict, predict future trends, predict growth
price	noun/verb	/praɪs/	1. (n) giá cả 2. (v) định giá	cost, charge	value, rebate	pricing (n): việc định giá priceless (adj): vô giá overpriced (adj): quá đắt	The price of the ticket is $30.	set a price, lower prices, price increase, competitive price
rise	verb / noun	/raɪz/	1. (v) tăng, lên 2. (n) sự tăng, sự gia tăng	increase, climb, grow, go up	fall, decrease, drop, decline	rising (adj): đang tăng risen (v3): đã tăng raise (v): nâng, tăng	Oil prices have risen by 5% this month.	rise sharply, rise steadily, a rise in costs, salary rise
raise	verb	/reɪz/	1. nâng lên 2. tăng (lương, giá) 3. nêu ra (vấn đề) 4. gây quỹ	increase, lift, boost	lower, reduce, drop	raise (n): sự tăng lương raised (adj): được nâng lên raiser (n): người nâng raising (n): sự nâng	The company plans to raise wages next quarter.	raise money, raise prices, raise a question, raise awareness
need	noun	/niːd/	1. nhu cầu, sự cần thiết 2. tình trạng thiếu thốn	necessity, requirement	surplus, abundance	needed (adj): cần thiết needless (adj): không cần thiết needy (adj): nghèo túng	There is a need for more staff during peak season.	meet a need; address the need; basic needs; customer needs
safe	adj, noun	/seɪf/	adj: an toàn; noun: két sắt	secure, protected	dangerous, risky	safety (n): sự an toàn; safely (adv): một cách an toàn; safeguard (v/n): bảo vệ/khoản bảo vệ	Passengers are safe inside the cabin.	keep safe, safe distance, safe place, fireproof safe
train	verb / noun	/treɪn/	1. (v) đào tạo, huấn luyện 2. (n) xe lửa, chuyến tàu	educate, instruct, coach, railway, locomotive	neglect, ignore	trainer (n): huấn luyện viên training (n): sự đào tạo trainee (n): thực tập sinh	The firm will train new employees next week.	train staff, on-the-job training, take a train, high-speed train
fire safety training	noun phrase	/faɪr ˈseɪf.ti ˈtreɪ.nɪŋ/	khóa đào tạo về an toàn phòng cháy chữa cháy	fire prevention course, fire drill instruction	fire hazard, negligence	fire safety (n): an toàn phòng cháy; fire-safe (adj): chống cháy; fireproof (adj): chịu lửa; train (v): đào tạo; trainee (n): học viên; trainer (n): huấn luyện viên	All staff must complete fire safety training this Friday.	attend fire safety training; conduct fire safety training; mandatory fire safety training; fire safety training session
emerge	verb	/ɪˈmɜːrdʒ/	1. xuất hiện 2. nổi lên 3. lộ ra	appear, arise	disappear, vanish	emergence (n): sự xuất hiện; emerging (adj): mới nổi; emergent (adj): đang nổi	A clear trend has emerged in customer feedback.	emerge as; emerge from; patterns emerge; market emerges
begin	verb	/bɪˈɡɪn/	1. bắt đầu 2. khởi đầu	start, commence	end, finish	beginning (n): sự khởi đầu; beginner (n): người mới bắt đầu	The meeting will begin promptly at 9 a.m.	begin with; begin to; begin doing; begin immediately
transform	verb	/trænsˈfɔːrm/	1. biến đổi hoàn toàn 2. chuyển đổi	convert, change, revolutionize	preserve, maintain	transformation (n): sự biến đổi; transformative (adj): mang tính biến đổi; transformer (n): bộ biến áp	The new policy could transform the entire company culture.	transform into; transform from; transform the business; digital transformation
shipping industry	noun	/ˈʃɪpɪŋ ˈɪn.də.stri/	ngành công nghiệp vận tải biển	maritime sector, freight industry	aviation industry, air transport sector	ship (v): vận chuyển; ship (n): tàu; shipment (n): lô hàng; shipping (n): vận chuyển; shipper (n): người gửi hàng	The shipping industry faces rising fuel costs this quarter.	global shipping industry; shipping industry regulations; shipping industry growth; shipping industry conference
imagine	verb	/ɪˈmædʒ.ɪn/	1. tưởng tượng 2. hình dung 3. đoán, nghĩ rằng	visualize, envision, picture	doubt, disbelieve, ignore	imagination (n): trí tưởng tượng; imaginative (adj): giàu tưởng tượng; imaginable (adj): có thể tưởng tượng; imaginary (adj): hư cấu	- I can’t imagine the project without your support. - Customers imagine how the room will look with new furniture.	imagine that, imagine doing, can hardly imagine, difficult to imagine
exact	adj	/ɪɡˈzækt/	1. chính xác 2. đúng y 3. tỉ mỉ	precise, accurate, correct	inexact, approximate, inaccurate	exactly (adv): chính xác; exactness (n): sự chính xác; exacting (adj): đòi hỏi cao; exactitude (n): tính chính xác	- We need the exact figures for the report. - The delivery arrived at the exact time.	exact time, exact amount, exact same, exact figures
hardly	adv	/ˈhɑːrd.li/	1. hầu như không 2. chỉ vừa, khó khăn lắm	scarcely, barely, rarely	completely, totally, easily	hard (adj/adv): chăm chỉ; hardness (n): độ cứng; hardship (n): khó khăn	- She can hardly hear the speaker at the back. - I hardly had time to eat lunch.	can hardly, hardly ever, hardly any, hardly anyone
closely	adv	/ˈkloʊs.li/	1. sát sao, kĩ lưỡng 2. chặt chẽ 3. gần gũi	carefully, tightly, intimately	loosely, distantly, casually	close (adj/v): gần; closeness (n): sự gần gũi; closure (n): sự kết thúc; closely (adv)	- The manager is monitoring the budget closely. - We work closely with international partners.	closely monitor, closely related, work closely, follow closely
already	adv	/ɑːlˈred.i/	1. đã, rồi 2. sớm hơn dự kiến	previously, earlier, before	not yet, later, afterward	ready (adj): sẵn sàng; readiness (n): sự sẵn sàng	- The flight has already departed. - I have already sent the invoice.	already done, already finished, have already, already been
handbook	noun	/ˈhænd.bʊk/	1. sổ tay hướng dẫn, cẩm nang	manual, guidebook	novel, fiction	handbook (n); handbooks (pl)	Please refer to the employee handbook for company policies.	employee handbook, user handbook, company handbook, safety handbook
outline	noun	/ˈaʊt.laɪn/	1. bản phác thảo 2. dàn ý tổng quát	summary, draft, overview	detail, expansion	outline (v); outlined (adj); outlining (n)	She presented an outline of the marketing plan.	brief outline, draft outline, outline of, present an outline
expert	noun	/ˈek.spɜːt/	1. chuyên gia 2. người thành thạo	specialist, professional	novice, amateur	expert (adj); expertise (n); expertly (adv)	We hired an IT expert to improve the network.	industry expert, legal expert, financial expert, call in an expert
account	noun	/əˈkaʊnt/	1. tài khoản 2. bản ghi chép tài chính	record, statement	denial, rebuttal	account (v); accountant (n); accounting (n); accountable (adj)	Please settle your account before the 25th.	bank account, customer account, open an account, account balance
recommend	verb	/ˌrek.əˈmend/	1. khuyên, đề xuất 2. tiến cử	suggest, advise	discourage, oppose	recommendation (n); recommended (adj); recommender (n)	The tour guide recommended a local restaurant.	highly recommend, recommend that, recommend for, recommend doing
standard	noun, adjective	/ˈstæn.dəd/	1. (n) mức chuẩn, tiêu chuẩn 2. (adj) thông thường, tiêu chuẩn	benchmark, norm, criterion	exception, deviation, abnormality	standardize (v): tiêu chuẩn hoá; standardized (adj): được tiêu chuẩn hoá; standardization (n): sự tiêu chuẩn hoá	Our products meet international safety standards.; The company follows a standard procedure for hiring.	meet the standard; industry standard; high standard; set a standard
board member	noun	/bɔːd ˈmem.bə/	Thành viên ban giám đốc / hội đồng quản trị	director, trustee, executive	employee, staffer, subordinate	board (n): ban; membership (n): tư cách thành viên; boardroom (n): phòng họp HĐQT	Each board member received the financial report.; The new board member will start next month.	senior board member; appoint a board member; elect a board member; new board member
scheduling conflict	noun	/ˈʃed.juː.lɪŋ ˈkɒn.flɪkt/	Sự trùng lịch, xung đột về thời gian	time clash, overlap, double-booking	availability, free time, open slot	schedule (n/v): lịch trình; reschedule (v): sắp xếp lại; scheduler (n): người lập lịch	I cannot attend the seminar due to a scheduling conflict.; We need to find a new date to avoid a scheduling conflict.	have a scheduling conflict; avoid a scheduling conflict; resolve a scheduling conflict; scheduling conflict with
board meeting	noun	/bɔːd ˈmiː.tɪŋ/	Cuộc họp hội đồng quản trị	directors' meeting, executive meeting, board session	informal gathering, casual meeting, social event	meet (v): gặp; meeting (n): cuộc họp; boardroom (n): phòng họp hội đồng	The quarterly board meeting starts at 10 a.m.; All directors must attend the board meeting.	attend a board meeting; hold a board meeting; annual board meeting; board meeting agenda
move	verb, noun	/muːv/	1. (v) di chuyển, chuyển địa điểm 2. (v) hành động, tiến triển 3. (n) bước đi, động thái	transfer, relocate, act, step	stay, remain, pause	movement (n): sự di chuyển; movable (adj): có thể di chuyển; mover (n): người chuyển; moving (adj): đang di chuyển	The company plans to move its headquarters next year.; That was a smart move in the negotiation.	move forward; move to; move quickly; strategic move
attend	verb	/əˈtend/	1. tham dự 2. có mặt 3. chăm sóc	join, take part in, be present	at absent, miss	attendance (n): sự có mặt; attendee (n): người tham dự; attendant (n): nhân viên phục vụ; unattended (adj): không được trông nom	All employees must attend the safety meeting.	attend a meeting, attend a conference, attend training, attend an event
collab	noun/verb	/kəˈlæb/	1. (n) sự hợp tác 2. (v) hợp tác tạo sản phẩm	collaboration, cooperation	competition, rivalry	collaborate (v): hợp tác; collaboration (n): sự hợp tác; collaborator (n): cộng tác viên; collaborative (adj): mang tính hợp tác	Our marketing team will collab with the design team on the new campaign.	brand collab, do a collab with, collab project, successful collab
across	preposition/adverb	/əˈkrɒs/	1. băng qua 2. ở bên kia 3. khắp, trải rộng	over, opposite, throughout	alongside, within	cross (v): băng qua; crossing (n): chỗ băng qua; crossover (n): sự giao nhau	The hotel is across the road from the convention center.	across the street, across from, across the country, travel across
pass	verb	/pæs/	1. đi qua 2. vượt qua 3. chuyển, đưa 4. thông qua 5. đậu kỳ thi	go through, hand, approve	fail, stop, reject	passage (n): lối đi; passenger (n): hành khách; passer-by (n): người qua đường; passing (adj): thoáng qua	Please pass the documents to the front desk.	pass an exam, pass a bill, pass through, pass the security gate
decide	verb	/dɪˈsaɪd/	1. quyết định 2. giải quyết	choose, determine	hesitate, waver	decision (n): quyết định decisive (adj): dứt khoát decisively (adv): một cách dứt khoát indecisive (adj): thiếu quyết đoán	The board will decide on the budget tomorrow.	decide on/upon sth, decide to do sth, quickly decide, final decision
require	verb	/rɪˈkwaɪər/	1. yêu cầu 2. cần thiết	need, demand	supply, offer	requirement (n): sự yêu cầu required (adj): bắt buộc requisition (n): giấy yêu cầu	The position requires at least two years of experience.	require that, require sb to do sth, be required for, require approval
perform	verb	/pərˈfɔːrm/	1. thực hiện, thi hành 2. biểu diễn 3. vận hành (máy)	carry out, execute, act	neglect, fail	performance (n): hiệu suất/buổi biểu diễn performer (n): người biểu diễn performing (adj): biểu diễn	The software can perform complex calculations quickly.; The band will perform at the company banquet.	perform a task, perform well, perform duties, perform a test
send	verb	/send/	1. gửi 2. cử đi	dispatch, forward	receive, keep	sender (n): người gửi sending (n): việc gửi resend (v): gửi lại	Please send the invoice by email today.	send an email, send a message, send goods, send for sb
coupon booklet	noun	/ˈkuː.pɒn ˈbʊk.lɪt/	quyển sổ phiếu giảm giá	voucher book, discount booklet	full-price catalog, price list	coupon (n): phiếu giảm giá booklet (n): sổ nhỏ	Travelers can save money with our coupon booklet.	redeem a coupon booklet, offer a coupon booklet, receive a coupon booklet, use a coupon booklet
print	verb	/prɪnt/	1. in ấn 2. xuất bản	publish, produce	erase, delete	printer (n): máy in printing (n): việc in printable (adj): có thể in	The company will print 500 copies of the brochure.	print out, print a document, print in color, print on both sides
approve	verb	/əˈpruːv/	1. chấp thuận, phê duyệt 2. đồng ý	accept, authorize, endorse, sanction	reject, refuse, deny, disapprove	approval (n): sự chấp thuận approving (adj): tán thành disapprove (v): không tán thành disapproval (n): sự không tán thành	The manager approved the budget today.	approve a plan; approve the budget; formally approve; need approval
in spite of	prepositional phrase	/ɪn ˈspaɪt əv/	mặc dù, bất chấp	despite, regardless of	because of, due to	spite (n): sự thù oán spiteful (adj): hằn học	In spite of rain, the tour continued on time.	in spite of delays; in spite of difficulties; in spite of high costs
despite	preposition	/dɪˈspaɪt/	mặc dù, bất chấp	in spite of, regardless of	because of, owing to	despiteful (adj): hằn học spite (n): sự thù oán	Despite heavy traffic, we arrived before noon.	despite the delay; despite high prices; despite the fact that
just as	conjunction	/dʒʌst æz/	1. ngay khi 2. giống như	exactly when, exactly as	different from, whereas	just (adv/adj): chỉ, công bằng justice (n): công lý justly (adv): công bằng	The phone rang just as I left the office.	just as expected; just as planned; just as important
in light of	prepositional phrase	/ɪn ˈlaɪt əv/	xét đến, vì, dựa trên	considering, given, because of	regardless of, despite	light (n): ánh sáng lighten (v): làm sáng tỏ enlightened (adj): được khai sáng	In light of new data, we changed the schedule.	in light of recent events; in light of the results; in light of the situation
according to	preposition	/əˈkɔː.dɪŋ tuː/	1. theo, dựa theo 2. căn cứ vào điều gì đó	per, as stated by	contrary to, ignoring	accord (v/n): đồng ý; accordance (n): sự phù hợp; accordingly (adv): do đó	According to the schedule, the train leaves at 9 a.m.	according to the report; according to plan; according to schedule; according to the contract
arbitrary	adjective	/ˈɑː.bɪ.trə.ri/	1. tuỳ tiện 2. độc đoán	random, capricious	systematic, rational	arbitrariness (n): tính tuỳ tiện; arbitrarily (adv): một cách tuỳ tiện	The staff complained about the arbitrary change in policy.	arbitrary decision; arbitrary rule; arbitrary limit; arbitrary change
provide	verb	/prəˈvaɪd/	1. cung cấp 2. quy định (hợp đồng, luật)	supply, furnish	withhold, deprive	provider (n): nhà cung cấp; provision (n): sự cung cấp; providing (conj): miễn là	The hotel provides free breakfast.	provide services; provide information; provide support; provide access
brochure	noun	/ˈbroʊ.ʃər/	1. tờ rơi, sách quảng cáo	leaflet, pamphlet	book	brochure (n): tờ gấp; brochured (adj): dạng sách gấp	Please take a brochure at the front desk.	travel brochure; product brochure; full-color brochure; marketing brochure
apply	verb	/əˈplaɪ/	1. nộp đơn 2. áp dụng 3. bôi lên	submit, utilize	withdraw, neglect	application (n): đơn xin; applicant (n): người xin; applicable (adj): có thể áp dụng; applied (adj): ứng dụng	I will apply for the sales position tomorrow.	apply for a job; apply to a company; apply the rules; apply online
understand	verb	/ˌʌn.dəˈstænd/	1. hiểu 2. nhận thức 3. thông cảm	comprehend, grasp	misunderstand, confuse	understanding (n): sự hiểu biết; understandable (adj): có thể hiểu được; understandably (adv): một cách dễ hiểu; misunderstood (adj): bị hiểu sai	- I don't understand the new policy. - Please speak slowly so everyone can understand.	- understand the requirements - understand how/why - easy/difficult to understand - fail/refuse to understand
loan	noun	/loʊn/	1. khoản vay 2. sự cho mượn tạm thời	credit, lending	repayment, payment	loan (v): cho vay; lender (n): người cho vay; borrower (n): người vay; loaner (n): vật cho mượn; loanable (adj): có thể cho vay	- The bank approved his loan yesterday. - She took out a car loan at 5% interest.	- apply for/obtain a loan - repay/pay off a loan - loan agreement/contract - loan amount/interest
term	noun	/tɜːrm/	1. điều khoản 2. kỳ hạn 3. thuật ngữ	condition, period	indefiniteness, vagueness	term (v): gọi tên; terminal (adj/n): cuối; terminology (n): thuật ngữ; midterm (n/adj): giữa kỳ	- Please read the terms of the contract carefully. - The lease term is three years.	- terms and conditions - short/long-term - payment/delivery terms - accept/agree to the terms
supplemental	adj	/ˌsʌp.lɪˈmen.təl/	1. bổ sung 2. thêm vào	additional, extra	primary, principal	supplement (n/v): phần bổ sung/bổ sung; supplementary (adj): phụ trợ; supplementation (n): sự bổ sung	- Employees receive supplemental insurance benefits. - The report includes supplemental data in the appendix.	- supplemental income - supplemental report - supplemental insurance - supplemental material
superfluous	adj	/suːˈpɜːr.flu.əs/	1. thừa thãi 2. không cần thiết	unnecessary, redundant	necessary, essential	superfluously (adv): một cách thừa thãi; superfluity (n): sự dư thừa	- Remove any superfluous details from the presentation. - Extra pages are superfluous and increase printing costs.	- superfluous details - superfluous information - eliminate/remove superfluous - superfluous to requirements
potential	noun/adj	/pəˈten.ʃəl/	1. (n) khả năng tiềm ẩn; 2. (adj) có khả năng phát triển trong tương lai	possibility, capacity, prospect	limitation, impossibility	potentially (adv): có tiềm năng; potent (adj): mạnh; potency (n): hiệu lực	The manager sees great potential in the new market.	potential customer, potential risk, full potential, unlock potential
eco - friendly	adj	/ˌiː.kəʊˈfrend.li/	thân thiện với môi trường, không gây hại	environmentally friendly, green	harmful, polluting	eco-friendliness (n): tính thân thiện môi trường	The hotel uses eco-friendly cleaning products.	eco-friendly product, eco-friendly policy, eco-friendly packaging, eco-friendly material
business	noun	/ˈbɪz.nəs/	1. việc kinh doanh; 2. doanh nghiệp; 3. lĩnh vực thương mại	enterprise, company, trade	leisure, hobby	businessman (n): doanh nhân; businesswoman (n): nữ doanh nhân; businesslike (adj): nghiêm túc	She travels to Tokyo on business every month.	start a business, do business with, business trip, business plan
enjoy	verb	/ɪnˈdʒɔɪ/	1. thưởng thức; 2. tận hưởng; 3. có được (quyền lợi)	like, appreciate, relish	dislike, detest	enjoyment (n): sự thích thú; enjoyable (adj): thú vị; enjoyed (adj): được ưa thích	Passengers enjoy free Wi-Fi on the train.	enjoy doing sth, enjoy a meal, enjoy the view, enjoy benefits
exhibit	verb/noun	/ɪɡˈzɪb.ɪt/	1. (v) trưng bày; 2. (n) vật trưng bày/cuộc triển lãm	display, show, present	conceal, hide	exhibition (n): cuộc triển lãm; exhibitor (n): người trưng bày; exhibited (adj): được trưng bày	The gallery will exhibit modern photographs next week.	exhibit products, exhibit at a trade show, art exhibit, museum exhibit
new	adjective	/njuː/	1. mới 2. chưa từng có trước đây 3. vừa mới bắt đầu	brand-new, fresh, recent	old, existing, outdated	renew (v): đổi mới newness (n): sự mới mẻ newly (adv): mới đây renewal (n): sự gia hạn	The company introduced a new product last week.	new product; new policy; new employee; brand-new model
teach	verb	/tiːtʃ/	1. dạy, giảng dạy 2. huấn luyện, hướng dẫn	instruct, educate	learn, study	teacher (n): giáo viên; teaching (n): sự giảng dạy; taught (v): đã dạy	Mr. Lee teaches accounting to new interns.	teach sb sth, teach a course/class, teach at (institution), teach how to do sth
plant	noun	/plænt/	1. nhà máy, cơ sở sản xuất 2. cây trồng (nghĩa phụ)	factory, facility, mill	closure, shutdown	plant (v): trồng planting (n): việc trồng plantation (n): đồn điền	The company built a new plant in Texas.	manufacturing plant; power plant; plant manager; build a plant
rain garden	noun	/ˈreɪn ˌɡɑːr.dən/	1. vườn mưa (khu cảnh quan thu nước mưa để giảm thoát nước)	bio-retention area, stormwater garden	paved surface, impervious area	garden (n/v): vườn/trồng gardening (n): làm vườn gardener (n): người làm vườn	The city installed a rain garden near the parking lot.	install a rain garden; design a rain garden; rain garden project; maintain a rain garden
rainfall pattern	noun	/ˈreɪn.fɔːl ˈpæt.ən/	1. mô hình phân bố lượng mưa theo thời gian hoặc khu vực	precipitation trend, rain distribution	drought pattern, dry spell	rainfall (n): lượng mưa rainy (adj): có mưa rainless (adj): không mưa pattern (n/v): khuôn mẫu/định hình	Climate change affects the rainfall pattern in the region.	change in rainfall pattern; analyze rainfall patterns; seasonal rainfall pattern; irregular rainfall pattern
region	noun	/ˈriː.dʒən/	1. vùng, khu vực (địa lý hoặc hành chính) 2. lĩnh vực hoạt động	area, zone, district	center, core	regional (adj): thuộc vùng regionally (adv): theo vùng regionalize (v): phân vùng	The company plans to open stores across the Asian region.	in the region, regional office, expand into a region, remote region
build	verb	/bɪld/	1. xây dựng (công trình) 2. phát triển, tạo dựng (quan hệ, thương hiệu)	construct, erect, develop	demolish, destroy	builder (n): thợ xây building (n): toà nhà built (adj): được xây rebuild (v): xây lại	They will build a new warehouse near the port.	build a facility, build a team, build trust, build up
patio furniture	noun	/ˈpæti.oʊ ˈfɜːrnɪtʃər/	đồ nội thất sân vườn, bàn ghế ngoài trời	outdoor furniture, garden furniture	indoor furniture, office furniture	patio (n): sân nhỏ furniture (n): đồ nội thất furnish (v): trang bị furnished (adj): được trang bị	The store offers a discount on patio furniture sets.	set of patio furniture, buy patio furniture, outdoor patio furniture, waterproof patio furniture
easy - to - acquire	adjective	/ˌiːzi tə əˈkwaɪər/	dễ kiếm, dễ có, dễ mua	accessible, readily available	hard-to-get, scarce	acquire (v): đạt được acquisition (n): sự mua lại acquisitive (adj): ham muốn acquirement (n): sự thu được	The course provides easy-to-acquire computer skills.	easy-to-acquire resources, easy-to-acquire funding, easy-to-acquire skills, easy-to-acquire data
material	noun	/məˈtɪə.ri.əl/	1. vật liệu 2. tài liệu (thông tin)	substance, fabric, matter	intangible, immaterial	materialize (v): trở thành hiện thực materialistic (adj): duy vật materially (adv): về vật chất immaterial (adj): phi vật chất	All construction material must meet safety standards.	raw material, building material, training material, material cost
host	noun / verb	/hoʊst/	1. (n) chủ nhà, người tiếp đón 2. (n) người dẫn chương trình 3. (v) đăng cai, tổ chức	sponsor, presenter, organize (v)	guest (n), attend (v)	hostess (n): nữ chủ nhà hosting (n): việc tổ chức hosted (adj): được tổ chức	- The hotel will host the annual seminar. - Our host welcomed every delegate.	host a meeting, host an event, gracious host, conference host
public	noun / adjective	/ˈpʌb.lɪk/	1. (adj) công cộng, công khai 2. (n) công chúng, quần chúng	open, general, communal	private, confidential	publicly (adv): công khai publicity (n): sự quảng bá publicize (v): quảng bá publication (n): ấn phẩm	- The budget was released to the public yesterday. - The park is open for public use.	the public, public transportation, public opinion, public relations
use	noun / verb	/juːs/ (n) /juːz/ (v)	1. (v) sử dụng 2. (n) mục đích, công dụng	apply, utilize, employ	misuse, waste	user (n): người dùng usage (n): cách dùng useful (adj): hữu ích usable (adj): có thể dùng useless (adj): vô dụng	- Please use company vehicles for deliveries. - This glue has many industrial uses.	make use of, use a tool, for personal use, safe use
best of all	phrase	/best əv ɔːl/	1. tốt nhất trong tất cả 2. hay nhất là	most importantly, above all	worst of all, least of all	good (adj): tốt better (adj): tốt hơn best (adj): tốt nhất	- The resort is affordable, and best of all, near the beach.	best of all, and best of all, but best of all
in any event	phrase	/ɪn ˈeni ɪˈvent/	1. trong mọi trường hợp 2. dù có chuyện gì xảy ra	anyway, regardless, at any rate	contingent upon	event (n): sự kiện eventual (adj): cuối cùng eventually (adv): cuối cùng eventful (adj): nhiều sự kiện	- In any event, the report must be submitted today.	in any event, in any event we will, in any event the
as a matter of fact	phrase	/ˌæz ə ˈmæt̬ər əv ˈfækt/	1. thực tế là 2. thật ra (nhấn mạnh điều đúng)	actually, in fact	supposedly, apparently	fact (n): sự thật; factual (adj): dựa trên sự thật; factually (adv): về mặt sự thật	As a matter of fact, the report was completed yesterday.	as a matter of fact + clause, well as a matter of fact, sentence opener
teach	verb	/tiːtʃ/	1. dạy, giảng dạy 2. huấn luyện, hướng dẫn	instruct, educate	learn, study	teacher (n): giáo viên; teaching (n): sự giảng dạy; taught (v): đã dạy	Mr. Lee teaches accounting to new interns.	teach sb sth, teach a course/class, teach at (institution), teach how to do sth
shallow	adjective	/ˈʃæl.oʊ/	1. nông (nước, đất) 2. hời hợt, nông cạn	superficial, surface	deep, profound	shallowness (n): sự nông cạn; shallowly (adv): một cách hời hợt	The water in this area is shallow enough for children.	shallow water, shallow pan, shallow analysis, shallow breathing
sunken	adjective	/ˈsʌŋ.kən/	1. bị chìm, đắm 2. lõm xuống, hóp vào	submerged, immersed	raised, elevated	sink (v): chìm; sank (v2); sunk (v3); sinking (n): sự chìm	Divers photographed the sunken cargo ship.	sunken ship, sunken treasure, sunken eyes, sunken garden
soil	noun	/sɔɪl/	1. đất trồng 2. lớp bề mặt đất	earth, dirt	water, rock	soiled (adj): bẩn; soiling (n): sự làm bẩn; soilless (adj): không đất	The region's rich soil produces high-quality coffee beans.	fertile soil, soil quality, soil erosion, soil sample
mix	verb/noun	/mɪks/	1. (v) trộn, pha lẫn 2. (v) kết hợp 3. (n) hỗn hợp, sự pha trộn	combine, blend	separate, divide	mixture (n): hỗn hợp; mixer (n): máy trộn; mixed (adj): pha lẫn; mixing (n): sự pha trộn	Please mix the ingredients carefully. - The marketing mix boosted sales.	mix with sth, mix thoroughly, marketing mix, mix ingredients
filter	noun/verb	/ˈfɪl.tər/	1. (n) bộ lọc 2. (v) lọc, sàng lọc 3. (v) sàng lọc thông tin	screen, purify, sieve	clog, block	filtration (n): sự lọc; filtrate (n): dịch lọc; filtered (adj): đã lọc; unfiltered (adj): chưa lọc	The air filter removes dust from the office. - HR filters applications by experience.	air filter, water filter, filter out impurities, filter data
pollutant	noun	/pəˈluː.tənt/	1. chất gây ô nhiễm 2. tác nhân ô nhiễm	contaminant, impurity	purifier, cleaner	pollute (v): làm ô nhiễm; pollution (n): ô nhiễm; polluted (adj): bị ô nhiễm; polluting (adj): gây ô nhiễm	Factories must reduce airborne pollutants. - The river contains industrial pollutants.	air pollutant, water pollutant, reduce pollutants, harmful pollutant
flow	noun/verb	/fləʊ/	1. (n) dòng chảy, luồng 2. (v) chảy, lưu thông 3. (n) sự liên tục	stream, run	stop, halt	flowing (adj): đang chảy; overflow (v/n): tràn; inflow (n): dòng vào; outflow (n): dòng ra	Cash flow improved last quarter. - Traffic flows smoothly after 9 a.m.	cash flow, traffic flow, flow of information, maintain flow
nearby	adj/adv	/ˌnɪəˈbaɪ/	1. ở gần, lân cận (adj) 2. ở gần (adv)	close, adjacent	distant, remote	near (prep/adj/adv): gần; nearness (n): sự gần gũi	There is a bank nearby. - The nearby hotel offers free Wi-Fi.	nearby restaurant, nearby facility, live nearby, located nearby
rooftop	noun	/ˈruːf.tɒp/	1. mái nhà 2. khu vực trên mái dùng cho hoạt động	roof, housetop	floor, ground	roof (n/v): mái; lợp mái rooftop (adj): trên mái roofing (n): vật liệu lợp mái	- The rooftop cafe offers a city view. - Inspectors checked the rooftop for leaks.	rooftop terrace; rooftop garden; on the rooftop; inspect the rooftop
landscape	noun	/ˈlænd.skeɪp/	1. phong cảnh 2. việc thiết kế cảnh quan 3. trang in ngang	scenery, view	cityscape, interior	landscape (v): làm cảnh quan landscaper (n): người thiết kế cảnh quan landscaping (n): việc thiết kế cảnh quan	- The hotel is surrounded by a beautiful landscape. - The company hired a firm to landscape the courtyard.	natural landscape; landscape design; landscape view; landscape photographer
native	adj	/ˈneɪ.tɪv/	1. bản địa 2. vốn có, tự nhiên	indigenous, local	foreign, nonnative	native (n): người bản địa nativeness (n): tính bản địa non-native (adj/n): không bản địa	- She is a native speaker of French. - The guide showed us plants native to the region.	native language; native speaker; native to; native culture
beneficial	adj	/ˌben.ɪˈfɪʃ.əl/	1. có lợi 2. mang lại lợi nhuận	advantageous, helpful	harmful, detrimental	benefit (n/v): lợi ích beneficiary (n): người thụ hưởng beneficially (adv): một cách có lợi	- Regular exercise is beneficial to health. - The merger was beneficial for both companies.	be beneficial to; beneficial effect; mutually beneficial; prove beneficial
local	adj/noun	/ˈloʊ.kəl/	1. thuộc địa phương 2. người dân địa phương	regional, nearby	foreign, distant	locally (adv): địa phương; locality (n): khu vực; localization (n): bản địa hoá; localize (v): định vị/BĐH	We hired a local guide for the factory tour.	local market; local community; buy from locals; local business
enviroment	noun	/ɪnˈvaɪ.rən.mənt/	1. môi trường tự nhiên 2. môi trường (làm việc, kinh doanh)	surroundings, setting	pollution, degradation	environmental (adj): thuộc về môi trường; environmentally (adv): về mặt môi trường; environmentalist (n): nhà bảo vệ môi trường; environmentalism (n): chủ nghĩa bảo vệ môi trường	The company strives to protect the environment.	protect the environment, environmental regulations, working environment, business environment
drainage	noun	/ˈdreɪ.nɪdʒ/	1. hệ thống thoát nước 2. sự tiêu nước	discharge, runoff	flooding, accumulation	drain (v): thoát nước; drain (n): cống; drained (adj): kiệt quệ; draining (adj): làm kiệt sức	Proper drainage prevents water damage.	drainage system, surface drainage, drainage pipe, poor drainage
protect	verb	/prəˈtekt/	1. bảo vệ 2. che chở	safeguard, defend	endanger, harm	protection (n): sự bảo vệ; protective (adj): bảo vệ; protector (n): người bảo vệ; protected (adj): được bảo vệ	The warranty protects consumers against defects.	protect against, protect from, protect the environment, protect data
